"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"CALU",3813.81706632987,0.551641549006316,0.0570572139797039,9.66821740021416,4.11482727569537e-22,6.49222924639419e-20,"Tidak Signfikan","Tidak Signifikan"
"SEC24D",1436.51835459151,0.744022427241742,0.0770256251029621,9.6594143344788,4.48420156808051e-22,6.99274735227067e-20,"Tidak Signfikan","Tidak Signifikan"
"HSPA6",154.132069806391,8.26048462670424,0.855891040050947,9.65132737715367,4.85235190068835e-22,7.4798725678312e-20,"Signifikan","Naik"
"ITK",1151.1680661963,0.761746970838808,0.0795268951025348,9.57848247258591,9.8481236236025e-22,1.50083165813788e-19,"Tidak Signfikan","Tidak Signifikan"
"HJURP",4017.54252288962,0.52756919617695,0.055162942322599,9.56383350785871,1.13473848212416e-21,1.7098851442435e-19,"Tidak Signfikan","Tidak Signifikan"
"SRF",2644.59715790504,0.598641546214544,0.0629550778391654,9.50902717877539,1.92453823920676e-21,2.86777581400021e-19,"Tidak Signfikan","Tidak Signifikan"
"MAP7D3",786.270453556058,-0.967892520027318,0.102179737311886,-9.47245065891092,2.73353873424587e-21,4.02851516098587e-19,"Tidak Signfikan","Tidak Signifikan"
"SLC39A7",2498.29369269257,0.594805646982136,0.0633585448057134,9.38793100135246,6.11903949222158e-21,8.91983028588952e-19,"Tidak Signfikan","Tidak Signifikan"
"PHF3",4624.22649758947,0.508038758449919,0.0543565285457609,9.34641655826528,9.06675432958379e-21,1.3074649711188e-18,"Tidak Signfikan","Tidak Signifikan"
"BCL11B",3703.41468968659,-0.602227142185503,0.064468450180546,-9.34142422377065,9.50468680213027e-21,1.35603568833371e-18,"Tidak Signfikan","Tidak Signifikan"
"FADS1",5698.90351278195,0.526515167441006,0.0564270304835246,9.33090334418247,1.04972370829896e-20,1.48187838442077e-18,"Tidak Signfikan","Tidak Signifikan"
"ACACA",3313.89612691159,0.540992935198035,0.0580055634330062,9.32656978365286,1.09352679896392e-20,1.52763415634428e-18,"Tidak Signfikan","Tidak Signifikan"
"CHTF8",1921.86500901057,-0.728787736782193,0.0782600160139296,-9.31238931324108,1.24988442958971e-20,1.72806186445645e-18,"Tidak Signfikan","Tidak Signifikan"
"TMEM39A",795.409098679179,0.899317178002218,0.0966406094356248,9.30578959770819,1.33000392893939e-20,1.82006966234757e-18,"Tidak Signfikan","Tidak Signifikan"
"ELOVL5",16645.5896474089,0.441602655403597,0.0475804957838318,9.28116969209171,1.67628088402123e-20,2.27076797329381e-18,"Tidak Signfikan","Tidak Signifikan"
"ZNF622",799.890168350531,0.887756224038588,0.0957574910188968,9.27088016396961,1.84616101967423e-20,2.47588654348511e-18,"Tidak Signfikan","Tidak Signifikan"
"VAT1",13140.855790056,0.426648919443915,0.0460660857560356,9.26167075933981,2.0125794240314e-20,2.67234679759258e-18,"Tidak Signfikan","Tidak Signifikan"
"HIAT1",2258.567488479,0.591202305443559,0.0642046081751874,9.20809770897467,3.31955452887181e-20,4.36456331242155e-18,"Tidak Signfikan","Tidak Signifikan"
"POLA1",1204.32128911017,-0.793486132782629,0.0862350440997333,-9.20143476548744,3.53201713277002e-20,4.59882347258046e-18,"Tidak Signfikan","Tidak Signifikan"
"KLF6",1122.80979543204,0.762380286172322,0.0830635972569601,9.17827196688669,4.3806446702698e-20,5.64892554547964e-18,"Tidak Signfikan","Tidak Signifikan"
"ARPP21",3481.87817440962,-0.545826194873788,0.059550536625407,-9.16576450531789,4.91970010066686e-20,6.28362838571841e-18,"Tidak Signfikan","Tidak Signifikan"
"ELF1",4828.97155411515,0.510017816470943,0.0561338804355764,9.08573953044773,1.02996083898275e-19,1.30309479354695e-17,"Tidak Signfikan","Tidak Signifikan"
"CCNG1",4648.52114806634,0.526480953484214,0.0582710126568104,9.03504039967429,1.63941862374622e-19,2.05478908065986e-17,"Tidak Signfikan","Tidak Signifikan"
"ICAM2",819.314135632129,0.830905383360574,0.0924872188663526,8.98400226047734,2.61092385323513e-19,3.24213886997559e-17,"Tidak Signfikan","Tidak Signifikan"
"LONRF1",797.359345877965,0.874446537251477,0.0974065961193178,8.97728256698681,2.77536434114581e-19,3.41471662193637e-17,"Tidak Signfikan","Tidak Signifikan"
"FUS",5631.24808081271,-0.481912570271393,0.0537568283870329,-8.9646763905372,3.11193297910857e-19,3.79401210752955e-17,"Tidak Signfikan","Tidak Signifikan"
"GOLGA2",2168.41330894756,0.594027667065131,0.0663678870956471,8.95052853210528,3.53784317417302e-19,4.27441574854364e-17,"Tidak Signfikan","Tidak Signifikan"
"EIF1B",1220.37123709706,0.721537752566771,0.0806766158946036,8.94357980395946,3.76763043911292e-19,4.5114010552628e-17,"Tidak Signfikan","Tidak Signifikan"
"AGRN",1782.69964158075,-0.670525369601491,0.0750435248581663,-8.93515291117784,4.06615480837734e-19,4.82577010045562e-17,"Tidak Signfikan","Tidak Signifikan"
"STK17A",2520.17971596974,0.57623090123838,0.0647008742902134,8.90607596202979,5.28707077787947e-19,6.21972861422295e-17,"Tidak Signfikan","Tidak Signifikan"
"GIMAP4",748.21017046735,0.859298366362863,0.0966665174894272,8.88930716322586,6.14911232017613e-19,7.17093437616365e-17,"Tidak Signfikan","Tidak Signifikan"
"RUSC1-AS1",320.433997417247,1.25970517177178,0.141868008194779,8.87941677479713,6.72118305770116e-19,7.77049879196813e-17,"Signifikan","Naik"
"CKAP5",12381.7315648001,0.479154211078365,0.0539721955368617,8.87779728640304,6.81973786481803e-19,7.8170516671004e-17,"Tidak Signfikan","Tidak Signifikan"
"AKAP8L",2860.59774997593,0.544525268935895,0.0613492631085589,8.87582411499133,6.94174701323524e-19,7.88947196563541e-17,"Tidak Signfikan","Tidak Signifikan"
"POLR3D",1362.77987966353,0.671637352091771,0.075771629500292,8.86396869806241,7.72154431303095e-19,8.62946923183817e-17,"Tidak Signfikan","Tidak Signifikan"
"WDR52",278.124948312121,-1.76807597052819,0.199466393807919,-8.86402935740042,7.7173421291807e-19,8.62946923183817e-17,"Signifikan","Turun"
"C11orf48",646.234281971658,0.920358586044968,0.103935733728269,8.85507373673013,8.36285096380711e-19,9.26894167567084e-17,"Tidak Signfikan","Tidak Signifikan"
"EIF4A2",8247.19673367825,0.441631870474935,0.0499485450805874,8.84173642620426,9.42423327298886e-19,1.03597042970536e-16,"Tidak Signfikan","Tidak Signifikan"
"HSP90AA1",40389.9205066332,0.530102245210329,0.0599735845357524,8.83892882697909,9.66406559704726e-19,1.05369742863415e-16,"Tidak Signfikan","Tidak Signifikan"
"BAZ2A",4160.38128906084,0.529161502028223,0.0599934616976205,8.82031953240683,1.14133555706215e-18,1.23439122223875e-16,"Tidak Signfikan","Tidak Signifikan"
"LDLRAD4",2173.80236271763,-0.657147814830253,0.0745388696735184,-8.81617628102723,1.18434965800313e-18,1.2706650610784e-16,"Tidak Signfikan","Tidak Signifikan"
"DLGAP5",5406.19271873691,0.497714631824167,0.0566111920004211,8.79180625308975,1.47174413369144e-18,1.56647306166158e-16,"Tidak Signfikan","Tidak Signifikan"
"MAT2A",2687.80352561148,-0.61787527955124,0.0710235684335506,-8.69958090220884,3.33112101548062e-18,3.51761133374887e-16,"Tidak Signfikan","Tidak Signifikan"
"NCOA5",981.486111223648,-0.835502161857216,0.0962781417929738,-8.6780046467223,4.02772589396787e-18,4.21998687218775e-16,"Tidak Signfikan","Tidak Signifikan"
"SLC30A1",749.740794281731,0.82625028337913,0.0952563471104463,8.67396565628454,4.17326231918356e-18,4.33857526841633e-16,"Tidak Signfikan","Tidak Signifikan"
"DLG1",2112.60273155195,-0.58900967512763,0.0679250208131226,-8.67146845266535,4.2658281989825e-18,4.40069399819648e-16,"Tidak Signfikan","Tidak Signifikan"
"TNFSF9",391.231901490494,1.19902197185608,0.138469628404369,8.65909720183988,4.7551521697048e-18,4.86804166014588e-16,"Signifikan","Naik"
"MT-ND4L",5154.91747056342,-0.59102507376476,0.0682702262186663,-8.65714245433632,4.83737998652935e-18,4.91470477267766e-16,"Tidak Signfikan","Tidak Signifikan"
"CDT1",5987.26993459094,0.444000309382375,0.0513616943250093,8.64458065913492,5.4003255825462e-18,5.445395968987e-16,"Tidak Signfikan","Tidak Signifikan"
"PXK",2243.62111756936,0.611932222606706,0.0710966102920846,8.60705201123822,7.49634393996001e-18,7.50249765513461e-16,"Tidak Signfikan","Tidak Signifikan"
"TMPO-AS1",449.247668687407,-1.11615342948218,0.129706535517751,-8.60522120205297,7.61697236174263e-18,7.56675676617262e-16,"Signifikan","Turun"
"MTHFR",1506.99222736918,0.635311614570093,0.0741122239425672,8.57229186729606,1.0144558768003e-17,1.00035792380654e-15,"Tidak Signfikan","Tidak Signifikan"
"RAD21",20512.1560196711,0.420753777872517,0.0491314180716146,8.56384355239291,1.09165942571643e-17,1.06088728683211e-15,"Tidak Signfikan","Tidak Signifikan"
